# 2.1
国|guò|pass; particle
去过|qùguo|have been to
国家|guójiā|country
英国|yīngguó|Britain
法国|fǎguó|France
日本|rìběn|Japan
会|huì|can; may
说|shuō|speak; talk; say
语|yǔ|language
英语|yīngyǔ|English (language)
日语|rìyǔ|Japanese (language)
言|yán|speech
语言|yǔyán|language
汉|hàn|Han nationality
汉语|hànyǔ|Chinese (language)
一点儿|yìdiǎnr|a little bit

# 2.2
西班牙|xībānyá|Spain
西班牙人|xībānyárén|Spanish (people)
西班牙语|xībānyáyǔ|Spanish (language)
英文|yīngwén|English (language)
学校|xuéxiào|school
里|lǐ|inside
家里|jiālǐ|at home
跟|gēn|with
广东|guǎngdōng|Guangdong (a province in China)
广东话|guǎngdōnghuà|Cantonese
很|hěn|very; quite
很多|hěnduō|many
朋|péng|friend
友|yǒu|friend
朋友|péngyǒu|friend
